Player,Season,Games,Points,Rebounds,Assists,Steals,Blocks,FG_Percentage,TS_Percentage
Stephen Curry,2010-11,74,1373,286,432,109,20,48.0,0
Stephen Curry,2011-12,26,383,88,138,39,8,49.0,0
Stephen Curry,2012-13,78,1786,314,539,126,12,45.1,0
Stephen Curry,2013-14,78,1873,334,666,128,14,47.1,0
Stephen Curry,2014-15,80,1900,341,619,163,16,48.7,0
Stephen Curry,2015-16,79,2375,430,527,169,15,50.4,0
Stephen Curry,2016-17,79,1999,353,524,142,17,46.8,0
Stephen Curry,2017-18,51,1346,261,310,80,8,49.5,0
Stephen Curry,2018-19,69,1881,369,361,92,25,47.2,0
Stephen Curry,2019-20,5,104,26,33,5,2,40.2,0
Stephen Curry,2020-21,63,2015,345,363,77,8,48.2,0
Stephen Curry,2021-22,64,1630,335,404,85,23,43.7,0
Stephen Curry,2022-23,56,1648,341,352,52,20,49.3,0
Stephen Curry,2023-24,74,1956,330,379,54,28,45.0,0
Stephen Curry,2024-25,70,1718,310,421,80,30,44.8,0
Stephen Curry,2025-26,43,1142,154,203,49,17,46.8,0
